name,description,price,category_name,store_name,ram_gb,text,stock
MSI ROG Strix 13,Ordinateur portable Ryzen 3 4Go RAM SSD 1To ecran Full HD 13 pouces multimedia leger rapide,982.58,informatique,myStore,4,MSI ROG Strix 13 Ordinateur portable Ryzen 3 4Go RAM SSD 1To ecran Full HD 13 pouces multimedia leger rapide,40
NAS 8To WiFi,Disque NAS Transcend 8To WiFi acces distant sauvegarde bureau maison cloud,468.31,stockage,myStore,0,NAS 8To WiFi Disque NAS Transcend 8To WiFi acces distant sauvegarde bureau maison cloud,7
Samsung MatePad 11 6Go/128Go,Tablette Samsung 6Go RAM 128Go ecran haute resolution WiFi Bluetooth multimedia travail,597.85,electronique,myStore,6,Samsung MatePad 11 6Go/128Go Tablette Samsung 6Go RAM 128Go ecran haute resolution WiFi Bluetooth multimedia travail,1
Lenovo Tab M10 6Go/128Go,Tablette Lenovo 6Go RAM 128Go ecran haute resolution WiFi Bluetooth multimedia travail,284.64,electronique,myStore,6,Lenovo Tab M10 6Go/128Go Tablette Lenovo 6Go RAM 128Go ecran haute resolution WiFi Bluetooth multimedia travail,47
Apple Tab P11 3Go/256Go,Tablette Apple 3Go RAM 256Go ecran haute resolution WiFi Bluetooth multimedia travail,402.9,electronique,myStore,3,Apple Tab P11 3Go/256Go Tablette Apple 3Go RAM 256Go ecran haute resolution WiFi Bluetooth multimedia travail,17
Acer Envy 17,Ordinateur portable i5 24Go RAM SSD 256Go ecran Full HD 17 pouces etudiant leger rapide,391.73,informatique,myStore,24,Acer Envy 17 Ordinateur portable i5 24Go RAM SSD 256Go ecran Full HD 17 pouces etudiant leger rapide,15
Galaxy M53 4G 3Go/128Go,Smartphone Samsung AMOLED 3Go RAM 128Go camera 64MP batterie 6000mAh 4G charge rapide Android,868.61,telephone portable,myStore,3,Galaxy M53 4G 3Go/128Go Smartphone Samsung AMOLED 3Go RAM 128Go camera 64MP batterie 6000mAh 4G charge rapide Android,14
Panasonic NanoCell 32 pouces 4K,Television Panasonic NanoCell 32 pouces 4K UHD HDR Smart TV 120Hz WiFi HDMI streaming,2360.6,electronique,myStore,0,Panasonic NanoCell 32 pouces 4K Television Panasonic NanoCell 32 pouces 4K UHD HDR Smart TV 120Hz WiFi HDMI streaming,8
iPhone 12 512Go,Smartphone Apple puce A-series 512Go ecran Super Retina camera avancee Face ID iOS rapide,1082.18,telephone portable,myStore,0,iPhone 12 512Go Smartphone Apple puce A-series 512Go ecran Super Retina camera avancee Face ID iOS rapide,47
NAS 6To WiFi,Disque NAS SanDisk 6To WiFi acces distant sauvegarde bureau maison cloud,371.64,stockage,myStore,0,NAS 6To WiFi Disque NAS SanDisk 6To WiFi acces distant sauvegarde bureau maison cloud,6
